
File: raw/L1B_Catalogue/2017-11/11/H18/2017-11.11.H18.kmz
-47.239914 46.316059 0
-47.255867 46.260803 0
-47.271805 46.205547 0
-47.287727 46.150295 0
-47.303631 46.095039 0

File: raw/L1B_Catalogue/2016-01/22/H00/2016-01.22.H00.kmz
-46.394787 46.043549 0
-46.411633 46.097649 0
-46.428493 46.151749 0
-46.445374 46.205849 0
-46.462276 46.259949 0
-46.479195 46.314049 0
-46.496136 46.368149 0
-46.513096 46.422249 0
-46.530075 46.476345 0
-46.547077 46.530445 0
-46.564098 46.584541 0
-46.581139 46.638641 0
-46.598202 46.692738 0
-46.615284 46.746838 0
-46.632389 46.800934 0
-46.649509 46.855030 0
-46.666656 46.909126 0
-46.683819 46.963219 0
-46.701004 47.017315 0
-46.718212 47.071407 0
-46.735439 47.125500 0
-46.752689 47.179596 0
-46.769962 47.233688 0
-46.787254 47.287785 0
-46.804569 47.341877 0
-46.821903 47.395966 0
-46.839260 47.450058 0
-46.856636 47.504147 0
-46.874035 47.558235 0
-46.891457 47.612328 0
-46.908897 47.666412 0
-46.926365 47.720505 0
-46.943851 47.774593 0
-46.961361 47.828682 0
-46.978893 47.882771 0
-46.996449 47.936859 0
-47.014023 47.990944 0

File: raw/L1B_Catalogue/2015-09/16/H00/2015-09.16.H00.kmz
-46.009388 47.263390 0
-46.027637 47.315853 0
-46.045910 47.368305 0
-46.064205 47.420750 0
-46.082523 47.473183 0
-46.100861 47.525608 0
-46.119221 47.578022 0
-46.137604 47.630428 0
-46.156010 47.682823 0
-46.174435 47.735210 0
-46.192886 47.787590 0
-46.211361 47.839958 0
-46.229858 47.892315 0
-46.248375 47.944664 0
-46.266918 47.997005 0

File: raw/L1B_Catalogue/2018-07/08/H18/2018-07.08.H18.kmz
-46.023251 47.550972 0
-46.048088 47.498623 0
-46.072872 47.446270 0
-46.097610 47.393909 0
-46.122303 47.341541 0
-46.146950 47.289169 0
-46.171551 47.236790 0
-46.196102 47.184406 0
-46.220604 47.132019 0
-46.245060 47.079624 0
-46.269466 47.027225 0
-46.293827 46.974823 0
-46.318134 46.922413 0
-46.342400 46.869995 0
-46.366615 46.817574 0
-46.390781 46.765144 0
-46.414902 46.712711 0
-46.438972 46.660271 0
-46.462997 46.607830 0
-46.486973 46.555382 0
-46.510906 46.502926 0
-46.534794 46.450466 0
-46.558632 46.398003 0
-46.582428 46.345535 0
-46.606178 46.293056 0
-46.629887 46.240570 0
-46.653545 46.188084 0
-46.677162 46.135593 0
-46.700737 46.083096 0
-46.724266 46.030594 0

File: raw/L1B_Catalogue/2018-07/03/H18/2018-07.03.H18.kmz
-46.392696 47.952042 0
-46.418762 47.900063 0
-46.444782 47.848072 0
-46.470749 47.796078 0
-46.496662 47.744072 0
-46.522526 47.692059 0
-46.548340 47.640034 0
-46.574097 47.588005 0
-46.599808 47.535961 0
-46.625465 47.483910 0
-46.651073 47.431854 0
-46.676628 47.379787 0
-46.702133 47.327709 0
-46.727589 47.275627 0
-46.752995 47.223537 0
-46.778351 47.171440 0
-46.803661 47.119335 0
-46.828922 47.067219 0
-46.854137 47.015099 0
-46.879307 46.962967 0
-46.904427 46.910828 0
-46.929497 46.858685 0
-46.954525 46.806530 0
-46.979500 46.754372 0
-47.004429 46.702202 0
-47.029312 46.650024 0
-47.054146 46.597843 0
-47.078930 46.545650 0
-47.103672 46.493446 0
-47.128368 46.441235 0
-47.153015 46.389015 0
-47.177612 46.336788 0
-47.202164 46.284554 0
-47.226669 46.232311 0
-47.251125 46.180065 0
-47.275539 46.127808 0
-47.299904 46.075546 0
-47.324223 46.023277 0

File: raw/L1B_Catalogue/2018-07/03/H06/2018-07.03.H06.kmz
-46.550838 46.939140 0
-46.568851 46.993843 0
-46.586891 47.048546 0
-46.604958 47.103245 0
-46.623043 47.157944 0
-46.641159 47.212643 0
-46.659298 47.267342 0
-46.677464 47.322037 0
-46.695652 47.376728 0
-46.713863 47.431423 0
-46.732098 47.486111 0
-46.750359 47.540802 0
-46.768646 47.595490 0
-46.786957 47.650173 0
-46.805290 47.704861 0
-46.823650 47.759544 0
-46.842037 47.814232 0
-46.860447 47.868912 0
-46.878880 47.923595 0
-46.897343 47.978275 0

File: raw/L1B_Catalogue/2018-07/09/H06/2018-07.09.H06.kmz
-47.095596 46.023426 0
-47.110912 46.078121 0
-47.126240 46.132816 0
-47.141579 46.187511 0
-47.156933 46.242214 0
-47.172302 46.296913 0
-47.187683 46.351616 0
-47.203075 46.406319 0
-47.218483 46.461021 0
-47.233906 46.515724 0
-47.249340 46.570427 0
-47.264793 46.625134 0
-47.280254 46.679840 0
-47.295734 46.734550 0
-47.311230 46.789261 0
-47.326736 46.843971 0
-47.342258 46.898685 0
-47.357800 46.953400 0
-47.373348 47.008114 0
-47.388916 47.062832 0
-47.404499 47.117546 0
-47.420094 47.172268 0
-47.435703 47.226986 0
-47.451328 47.281708 0
-47.466972 47.336433 0
-47.482628 47.391159 0
-47.498299 47.445889 0
-47.513985 47.500618 0
-47.529686 47.555347 0
-47.545399 47.610077 0
-47.561131 47.664806 0
-47.576878 47.719540 0
-47.592640 47.774273 0
-47.608421 47.829006 0
-47.624214 47.883747 0
-47.640026 47.938484 0
-47.655853 47.993225 0

File: raw/L1B_Catalogue/2018-07/02/H18/2018-07.02.H18.kmz
-47.707680 47.978577 0
-47.726021 47.924477 0
-47.744335 47.870369 0
-47.762627 47.816257 0
-47.780895 47.762138 0
-47.799137 47.708012 0
-47.817360 47.653877 0
-47.835556 47.599731 0
-47.853729 47.545582 0
-47.871876 47.491428 0
-47.890003 47.437263 0
-47.908104 47.383099 0
-47.926182 47.328926 0
-47.944237 47.274746 0
-47.962273 47.220562 0
-47.980282 47.166374 0

File: raw/L1B_Catalogue/2018-07/02/H06/2018-07.02.H06.kmz
-47.148880 46.036491 0
-47.171974 46.089146 0
-47.195110 46.141792 0
-47.218292 46.194435 0
-47.241516 46.247070 0
-47.264786 46.299702 0
-47.288097 46.352329 0
-47.311455 46.404949 0
-47.334858 46.457565 0
-47.358303 46.510178 0
-47.381798 46.562782 0
-47.405338 46.615387 0
-47.428928 46.667988 0
-47.452560 46.720581 0
-47.476238 46.773170 0
-47.499962 46.825752 0
-47.523731 46.878334 0
-47.547543 46.930904 0
-47.571400 46.983475 0
-47.595299 47.036037 0
-47.619244 47.088593 0
-47.643230 47.141151 0
-47.667263 47.193699 0
-47.691338 47.246246 0
-47.715454 47.298782 0
-47.739620 47.351315 0
-47.763832 47.403843 0
-47.788086 47.456360 0
-47.812393 47.508877 0
-47.836746 47.561382 0
-47.861149 47.613884 0
-47.885601 47.666386 0
-47.910103 47.718876 0
-47.934654 47.771358 0
-47.959255 47.823837 0
-47.983906 47.876308 0

File: raw/L1B_Catalogue/2018-07/28/H06/2018-07.28.H06.kmz
-46.682198 46.027287 0
-46.703251 46.079620 0
-46.724354 46.131958 0
-46.745499 46.184296 0
-46.766685 46.236633 0
-46.787918 46.288975 0
-46.809189 46.341316 0
-46.830505 46.393658 0
-46.851860 46.446003 0
-46.873260 46.498348 0
-46.894699 46.550690 0
-47.067734 46.969479 0
-47.089554 47.021828 0
-47.111420 47.074177 0
-47.133331 47.126530 0
-47.155289 47.178886 0
-47.177288 47.231239 0
-47.199333 47.283596 0
-47.221424 47.335953 0
-47.243561 47.388306 0
-47.265739 47.440662 0
-47.287964 47.493019 0
-47.310234 47.545376 0
-47.332546 47.597729 0
-47.354908 47.650085 0
-47.377312 47.702446 0
-47.399765 47.754803 0
-47.422264 47.807159 0
-47.444805 47.859516 0
-47.467396 47.911873 0
-47.490028 47.964230 0

File: raw/L1B_Catalogue/2018-07/12/H18/2018-07.12.H18.kmz
-47.449883 47.995865 0
-47.467606 47.941288 0
-47.485306 47.886715 0
-47.502983 47.832142 0
-47.520638 47.777565 0
-47.538269 47.722992 0
-47.555878 47.668419 0
-47.573463 47.613846 0
-47.591030 47.559269 0
-47.608570 47.504692 0
-47.626091 47.450115 0
-47.643589 47.395538 0
-47.661064 47.340965 0
-47.678520 47.286392 0
-47.695950 47.231819 0
-47.713360 47.177246 0
-47.730751 47.122677 0
-47.748116 47.068108 0
-47.765465 47.013535 0
-47.782791 46.958965 0
-47.800095 46.904396 0
-47.817379 46.849831 0
-47.834641 46.795265 0
-47.851883 46.740700 0
-47.869099 46.686134 0
-47.886299 46.631569 0
-47.903473 46.577003 0
-47.920628 46.522438 0
-47.937763 46.467869 0
-47.954876 46.413300 0
-47.971970 46.358734 0
-47.989040 46.304165 0
-46.000622 46.866169 0
-46.017529 46.813622 0
-46.034416 46.761063 0
-46.051285 46.708496 0
-46.068142 46.655918 0

File: raw/L1B_Catalogue/2018-07/12/H06/2018-07.12.H06.kmz
-46.011066 46.496326 0
-46.035835 46.548183 0
-46.060646 46.600033 0
-46.085506 46.651871 0
-46.110413 46.703701 0
-46.135368 46.755520 0
-46.160370 46.807331 0
-46.185417 46.859131 0
-46.210506 46.910919 0
-46.235645 46.962696 0
-46.260834 47.014462 0
-46.286064 47.066216 0
-46.311340 47.117962 0
-46.336666 47.169697 0
-46.362038 47.221420 0
-46.387459 47.273136 0
-46.412922 47.324841 0
-46.438435 47.376534 0
-46.463997 47.428219 0
-46.489605 47.479889 0
-46.515259 47.531551 0
-46.540962 47.583202 0
-46.566715 47.634842 0
-46.592514 47.686470 0
-46.618366 47.738087 0
-46.644264 47.789700 0
-46.670212 47.841297 0
-46.696213 47.892887 0
-46.040623 46.051857 0
-46.063381 46.103939 0
-46.086185 46.156017 0
-46.109035 46.208092 0
-46.131931 46.260170 0
-46.154877 46.312248 0
